split,model,category,scope,horizon_frames,samples,mean_error_px,median_error_px,p90_error_px,improvement_vs_cv_pct
member2_canonical_tracks3,local_history_ungated,turning,horizon,10,1816,5.9096,4.597,11.1238,13.705
member2_canonical_tracks3,local_history_ungated,turning,horizon,15,1816,8.73,6.7442,16.623,15.7562
member2_canonical_tracks3,local_history_ungated,turning,horizon,30,1816,20.2544,14.6896,39.1221,18.6373
member2_canonical_tracks3,local_history_ungated,turning,ADE,30,1816,9.5543,7.0782,17.8587,16.6002
member2_canonical_tracks3,local_history_ungated,speed_change,horizon,5,523,3.1355,2.4498,6.0803,12.0926
member2_canonical_tracks3,local_history_ungated,speed_change,horizon,10,523,5.2694,4.0952,10.0066,11.0384
member2_canonical_tracks3,local_history_ungated,speed_change,horizon,15,523,7.9932,6.388,15.1682,8.2519
member2_canonical_tracks3,local_history_ungated,speed_change,horizon,30,523,17.7031,14.0255,29.7986,10.5445
member2_canonical_tracks3,local_history_ungated,speed_change,ADE,30,523,8.5253,6.9087,15.6615,10.2411
member2_canonical_tracks3,local_history_ungated,dynamic,horizon,5,2339,3.2812,2.5701,6.2052,10.9597
member2_canonical_tracks3,local_history_ungated,dynamic,horizon,10,2339,5.7665,4.5088,10.8909,13.1732
member2_canonical_tracks3,local_history_ungated,dynamic,horizon,15,2339,8.5653,6.6722,16.3292,14.2934
member2_canonical_tracks3,local_history_ungated,dynamic,horizon,30,2339,19.684,14.4551,37.0109,17.1297
member2_canonical_tracks3,local_history_ungated,dynamic,ADE,30,2339,9.3242,7.0288,17.3009,15.3745
member2_canonical_tracks3,local_history_gated,all,horizon,5,5554,3.3799,2.4511,6.8824,4.7912
member2_canonical_tracks3,local_history_gated,all,horizon,10,5554,6.6175,4.5018,14.0908,5.2741
member2_canonical_tracks3,local_history_gated,all,horizon,15,5554,10.8121,6.9494,25.1988,5.2706
member2_canonical_tracks3,local_history_gated,all,horizon,30,5554,28.4817,16.3154,72.2621,5.6748
member2_canonical_tracks3,local_history_gated,all,ADE,30,5554,12.3228,7.5987,29.237,5.4725
member2_canonical_tracks3,local_history_gated,stable,horizon,5,3215,3.4517,2.3423,7.5641,0.0
member2_canonical_tracks3,local_history_gated,stable,horizon,10,3215,7.2366,4.5006,17.5975,0.0
member2_canonical_tracks3,local_history_gated,stable,horizon,15,3215,12.4467,7.2686,32.2976,0.0
member2_canonical_tracks3,local_history_gated,stable,horizon,30,3215,34.8823,19.5166,94.7795,0.0
member2_canonical_tracks3,local_history_gated,stable,ADE,30,3215,14.5043,8.3705,38.644,0.0
member2_canonical_tracks3,local_history_gated,turning,horizon,5,1816,3.3231,2.6079,6.2246,10.6468
member2_canonical_tracks3,local_history_gated,turning,horizon,10,1816,5.9096,4.597,11.1238,13.705
member2_canonical_tracks3,local_history_gated,turning,horizon,15,1816,8.73,6.7442,16.623,15.7562
member2_canonical_tracks3,local_history_gated,turning,horizon,30,1816,20.2544,14.6896,39.1221,18.6373
member2_canonical_tracks3,local_history_gated,turning,ADE,30,1816,9.5543,7.0782,17.8587,16.6002
member2_canonical_tracks3,local_history_gated,speed_change,horizon,5,523,3.1355,2.4498,6.0803,12.0926
member2_canonical_tracks3,local_history_gated,speed_change,horizon,10,523,5.2694,4.0952,10.0066,11.0384
member2_canonical_tracks3,local_history_gated,speed_change,horizon,15,523,7.9932,6.388,15.1682,8.2519
